,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
2013-04-04,5574.75,138.633301,255.643356,541.605713,347.560028,553.244873,265.271179,1383.489258,252.031158,422.465149,176.774384,592.976746,486.321075,220.729736,103.423096,134.615616,106.803596,253.58342,2457.137939,83.428932,450.44928
2013-04-05,5553.25,137.902481,259.717377,536.812988,353.242859,550.517151,262.023163,1374.818481,249.586594,422.170349,171.905777,599.195679,489.781281,218.199081,103.646408,137.250443,106.712135,250.590454,2455.290039,83.516708,454.680389
2013-04-08,5542.950195,136.360321,256.945526,527.208923,357.454132,543.995117,272.058105,1358.669434,251.053543,425.167084,172.82019,592.094543,492.009033,218.855194,104.831726,135.813263,105.980614,249.721481,2452.517822,84.789452,453.133514
2013-04-09,5495.100098,133.312881,255.685684,525.081055,351.816498,531.403687,268.567688,1373.946655,257.068481,426.321533,169.486526,595.667786,493.194031,215.574707,106.360619,133.130508,107.306519,244.84584,2456.067871,83.165611,453.997925
2013-04-10,5558.700195,135.652924,256.39978,538.443359,352.925903,540.87323,273.076111,1404.271729,262.104889,421.236969,168.099426,598.856445,497.649628,220.307953,107.10788,131.741241,107.900879,242.963135,2462.390381,83.428932,445.581268
2013-04-11,5594.0,136.940308,250.72998,548.664978,349.167572,560.284912,266.82251,1410.190063,272.031311,428.556793,168.364975,603.198486,508.124969,230.946106,110.053993,132.124496,105.889175,241.901123,2463.703125,82.595047,447.537567
2013-04-12,5528.549805,139.585403,251.570206,540.769897,351.09198,441.175629,265.174255,1387.113647,269.097504,427.279541,172.850296,612.877502,506.750275,231.883392,109.384026,133.130508,106.940735,241.177017,2479.167969,83.692253,450.676788
2013-04-15,5568.399902,143.910187,247.327759,549.618896,359.355957,449.321259,271.136993,1351.053589,263.08252,428.876129,177.010727,606.793945,498.976746,226.915817,107.734901,132.507736,103.191643,243.34935,2456.943359,82.463432,435.708832
2013-04-16,5688.950195,146.37764,250.603928,567.515198,364.495361,441.098846,276.324188,1360.871582,264.990295,436.932922,181.731491,607.495239,504.190735,229.633911,107.932442,133.561661,98.711021,244.169998,2489.089111,84.394432,455.135315
2013-04-17,5688.700195,150.538101,249.511581,566.382446,350.344849,438.717651,277.342163,1336.55603,265.234436,449.14093,184.770386,610.977905,512.62793,227.759369,108.51651,133.513779,100.494125,241.901123,2456.651611,82.990074,454.998779
