date,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^BSESN,SBIN.BO,TATASTEEL.BO,LT.BO,RELIANCE.BO,INFY.BO,BHARTIARTL.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,COLPAL.BO,BRITANNIA.BO,DLF.BO,HAVELLS.BO,DABUR.BO,HINDZINC.BO,PIDILITIND.BO,PGHH.BO,TATAPOWER.BO,CUMMINSIND.BO
17/05/13,20286.11914,189.247284,276.677948,645.498657,386.313324,451.569611,307.516205,1346.976929,296.682831,474.214294,197.534454,672.552246,541.199219,233.786545,118.406197,150.712982,112.791481,273.421722,2494.166992,82.415909,448.222534
20/05/13,20223.98047,188.353577,279.649109,643.728638,384.692902,456.333466,300.063385,1355.922852,295.753662,474.631866,197.505249,644.509583,538.687439,232.474457,116.817383,149.275757,111.07901,275.835388,2518.09375,82.108757,442.581055
21/05/13,20111.60938,184.290939,273.751038,638.976196,383.049286,460.530243,297.09201,1369.869751,286.707031,478.316345,195.675369,641.614868,535.938477,225.539124,116.07019,148.317642,109.088844,270.139069,2557.243164,81.406517,435.756714
22/05/13,20062.24023,184.290939,271.134644,603.361572,378.604675,458.78302,303.765442,1371.97998,288.242157,492.194427,198.18425,639.375854,535.511963,212.839966,117.762085,150.617126,108.440887,267.483978,2600.964111,79.651169,433.663971
23/05/13,19674.33008,184.290939,265.635681,564.206909,363.511414,453.125549,293.796326,1370.649536,284.407837,494.47876,196.118011,651.248901,545.654358,197.79776,116.482437,148.796722,105.20108,266.325409,2605.000244,77.325249,422.881439
24/05/13,19704.33008,167.903717,277.742279,579.419128,364.784576,450.820465,292.476837,1348.811646,281.767578,476.351257,194.760864,661.131775,544.516968,198.406937,116.267738,151.623169,108.440887,271.683807,2596.246582,80.221695,423.108978
27/05/13,20030.76953,167.903717,281.156921,582.799866,383.465973,454.557037,302.152832,1374.136353,287.97821,498.556244,196.97406,674.316284,631.154236,201.921494,119.917747,151.527374,111.680702,279.214508,2614.143311,80.441071,432.526581
28/05/13,20160.82031,205.779449,285.015076,578.603943,390.364441,454.557037,307.088501,1389.551514,289.34726,489.07489,200.603714,666.287964,643.476868,200.421951,123.524811,149.754837,111.726982,280.662689,2583.650879,79.826691,426.02066
29/05/13,20147.64063,205.779449,278.540466,575.462158,392.262634,451.511963,307.186218,1373.585938,297.122711,523.733398,201.990936,670.924011,648.500793,197.329163,121.635391,150.425522,109.690529,284.041901,2605.437988,78.992851,421.516602
30/05/13,20215.40039,205.779449,267.675568,567.388855,387.007782,471.575409,308.750031,1375.008179,309.934479,527.000305,209.073151,660.000916,663.619568,193.064865,125.319748,150.473419,109.366554,276.993896,2706.107178,79.256241,412.781403
31/05/13,19760.30078,205.779449,258.806244,557.42572,372.97937,484.753754,293.747467,1375.971313,306.56073,513.613464,205.134659,657.445435,685.895081,182.61499,126.882813,149.99437,107.422653,275.159515,2784.454346,78.334633,414.64679
03/06/13,19610.48047,199.930405,263.063507,551.838379,364.877167,506.166168,296.777283,1349.270386,306.90274,499.858063,202.991547,655.681519,658.974915,183.364761,127.097519,151.383652,106.173027,274.869873,2922.911133,77.413017,410.825165
